product_id,product_category,location_id,date,demand,stock_level,outlier_handled,outlier_method,outlier_threshold,original_demand
PROD_003,CLOTHING,LOC_005,2022-01-01,109.705,231.98,True,mad,1.2,46.89
PROD_004,FOOD,LOC_003,2022-01-01,66.35,92.53,True,mad,1.2,45.41
PROD_005,FOOD,LOC_001,2022-01-01,124.41,227.47,True,zscore,1.2,89.07
PROD_005,FOOD,LOC_002,2022-01-01,107.91499999999999,179.45,True,zscore,1.2,44.43
PROD_005,FOOD,LOC_003,2022-01-01,68.175,84.23,True,mad,1.2,30.11
PROD_005,FOOD,LOC_005,2022-01-01,90.65,149.48,True,mad,1.2,56.18
PROD_007,HOME,LOC_001,2022-01-01,36.43,54.9,True,mad,1.5,6.33
PROD_007,HOME,LOC_002,2022-01-01,54.07,119.07,True,zscore,1.5,21.73
PROD_007,HOME,LOC_003,2022-01-01,59.81,103.66,True,zscore,1.5,26.72
PROD_008,SPORTS,LOC_004,2022-01-01,108.2,255.71,True,zscore,1.5,24.5
PROD_009,SPORTS,LOC_001,2022-01-01,89.51,108.74,True,zscore,1.5,7.27
PROD_010,SPORTS,LOC_001,2022-01-01,91.47,171.2,True,zscore,1.5,2.11
PROD_004,FOOD,LOC_003,2022-01-02,66.35,87.08,True,mad,1.2,35.49
PROD_005,FOOD,LOC_001,2022-01-02,124.41,174.14,True,zscore,1.2,64.45
PROD_005,FOOD,LOC_002,2022-01-02,107.91499999999999,175.99,True,zscore,1.2,61.33
PROD_005,FOOD,LOC_003,2022-01-02,68.175,133.96,True,mad,1.2,38.63
PROD_005,FOOD,LOC_005,2022-01-02,90.65,130.3,True,mad,1.2,55.08
PROD_007,HOME,LOC_001,2022-01-02,36.43,60.1,True,mad,1.5,8.32
PROD_007,HOME,LOC_002,2022-01-02,54.07,100.42,True,zscore,1.5,24.53
PROD_007,HOME,LOC_003,2022-01-02,59.81,106.77,True,zscore,1.5,20.41
PROD_007,HOME,LOC_004,2022-01-02,48.31999999999999,90.64,True,zscore,1.5,9.6
PROD_008,SPORTS,LOC_004,2022-01-02,108.2,104.72,True,zscore,1.5,19.47
PROD_009,SPORTS,LOC_004,2022-01-02,91.13,114.65,True,zscore,1.5,7.03
PROD_010,SPORTS,LOC_001,2022-01-02,91.47,188.14,True,zscore,1.5,0.0
PROD_001,ELECTRONICS,LOC_002,2022-01-03,82.975,98.78,True,zscore,2.0,3.08
PROD_002,CLOTHING,LOC_002,2022-01-03,27.21,59.77,True,mad,1.5,75.06
PROD_003,CLOTHING,LOC_003,2022-01-03,50.474999999999994,80.88,True,zscore,1.2,81.08
PROD_007,HOME,LOC_003,2022-01-03,59.81,110.38,True,zscore,1.5,21.01
PROD_009,SPORTS,LOC_001,2022-01-03,89.51,156.01,True,zscore,1.5,15.39
PROD_009,SPORTS,LOC_004,2022-01-03,91.13,194.44,True,zscore,1.5,22.62
PROD_002,CLOTHING,LOC_002,2022-01-04,27.21,45.99,True,mad,1.5,71.76
PROD_007,HOME,LOC_003,2022-01-04,59.81,86.6,True,zscore,1.5,30.76
PROD_007,HOME,LOC_004,2022-01-04,48.31999999999999,66.66,True,zscore,1.5,6.18
PROD_008,SPORTS,LOC_004,2022-01-04,108.2,189.88,True,zscore,1.5,26.02
PROD_009,SPORTS,LOC_001,2022-01-04,89.51,149.41,True,zscore,1.5,21.4
PROD_010,SPORTS,LOC_001,2022-01-04,91.47,129.82,True,zscore,1.5,9.8
PROD_002,CLOTHING,LOC_002,2022-01-05,27.21,31.14,True,mad,1.5,74.92
PROD_003,CLOTHING,LOC_003,2022-01-05,50.474999999999994,84.04,True,zscore,1.2,80.79
PROD_005,FOOD,LOC_001,2022-01-05,124.41,135.11,True,zscore,1.2,87.47
PROD_007,HOME,LOC_002,2022-01-05,54.07,84.16,True,zscore,1.5,24.99
PROD_007,HOME,LOC_004,2022-01-05,48.31999999999999,77.12,True,zscore,1.5,18.48
PROD_009,SPORTS,LOC_004,2022-01-05,91.13,150.54,True,zscore,1.5,9.56
PROD_002,CLOTHING,LOC_002,2022-01-06,27.21,53.11,True,mad,1.5,74.66
PROD_003,CLOTHING,LOC_003,2022-01-06,50.474999999999994,80.0,True,zscore,1.2,84.53
PROD_008,SPORTS,LOC_004,2022-01-06,108.2,256.37,True,zscore,1.5,26.52
PROD_009,SPORTS,LOC_001,2022-01-06,89.51,103.04,True,zscore,1.5,0.0
PROD_009,SPORTS,LOC_004,2022-01-06,91.13,123.23,True,zscore,1.5,0.0
PROD_002,CLOTHING,LOC_002,2022-01-07,27.21,61.52,True,mad,1.5,68.71
PROD_007,HOME,LOC_004,2022-01-07,48.31999999999999,93.49,True,zscore,1.5,16.67
PROD_008,SPORTS,LOC_004,2022-01-07,108.2,192.45,True,zscore,1.5,27.05
PROD_003,CLOTHING,LOC_005,2022-01-08,109.705,199.79,True,mad,1.2,34.36
PROD_004,FOOD,LOC_001,2022-01-08,74.13,139.47,True,zscore,1.2,51.65
PROD_005,FOOD,LOC_002,2022-01-08,107.91499999999999,166.01,True,zscore,1.2,46.5
PROD_005,FOOD,LOC_003,2022-01-08,68.175,82.73,True,mad,1.2,37.58
PROD_007,HOME,LOC_001,2022-01-08,36.43,45.7,True,mad,1.5,8.88
PROD_007,HOME,LOC_002,2022-01-08,54.07,61.15,True,zscore,1.5,21.43
PROD_007,HOME,LOC_004,2022-01-08,48.31999999999999,94.48,True,zscore,1.5,19.19
PROD_008,SPORTS,LOC_004,2022-01-08,108.2,198.02,True,zscore,1.5,0.0
PROD_009,SPORTS,LOC_001,2022-01-08,89.51,109.6,True,zscore,1.5,0.0
PROD_001,ELECTRONICS,LOC_002,2022-01-09,82.975,173.14,True,zscore,2.0,6.82
