product_id,product_category,location_id,date,demand,stock_level,incoming_inventory
BPRN,General,WB,2023-07-01,0.0,0.0,0
BPRN,General,WB,2023-07-02,0.0,0.0,0
BPRN,General,WB,2023-07-03,0.0,0.0,0
BPRN,General,WB,2023-07-04,0.0,0.0,0
BPRN,General,WB,2023-07-05,0.0,0.0,0
BPRN,General,WB,2023-07-06,0.0,482.0,0
BPRN,General,WB,2023-07-07,0.0,482.0,0
BPRN,General,WB,2023-07-08,0.0,482.0,0
BPRN,General,WB,2023-07-09,0.0,482.0,0
BPRN,General,WB,2023-07-10,0.0,482.0,0
BPRN,General,WB,2023-07-11,0.0,482.0,0
BPRN,General,WB,2023-07-12,130.0,352.0,0
BPRN,General,WB,2023-07-13,85.0,267.0,0
BPRN,General,WB,2023-07-14,75.0,192.0,0
BPRN,General,WB,2023-07-15,30.0,162.0,0
BPRN,General,WB,2023-07-16,0.0,162.0,0
BPRN,General,WB,2023-07-17,0.0,162.0,0
BPRN,General,WB,2023-07-18,0.0,162.0,0
BPRN,General,WB,2023-07-19,0.0,162.0,0
BPRN,General,WB,2023-07-20,0.0,162.0,0
BPRN,General,WB,2023-07-21,0.0,162.0,0
BPRN,General,WB,2023-07-22,0.0,162.0,0
BPRN,General,WB,2023-07-23,0.0,162.0,0
BPRN,General,WB,2023-07-24,10.0,152.0,0
BPRN,General,WB,2023-07-25,0.0,152.0,0
BPRN,General,WB,2023-07-26,0.0,152.0,0
BPRN,General,WB,2023-07-27,0.0,152.0,0
BPRN,General,WB,2023-07-28,0.0,152.0,0
BPRN,General,WB,2023-07-29,0.0,152.0,0
BPRN,General,WB,2023-07-30,0.0,152.0,0
BPRN,General,WB,2023-07-31,0.0,152.0,0
BPRN,General,WB,2023-08-01,0.0,152.0,0
BPRN,General,WB,2023-08-02,0.0,152.0,0
BPRN,General,WB,2023-08-03,10.0,142.0,0
BPRN,General,WB,2023-08-04,10.0,132.0,0
BPRN,General,WB,2023-08-05,0.0,132.0,0
BPRN,General,WB,2023-08-06,0.0,132.0,0
BPRN,General,WB,2023-08-07,0.0,132.0,0
BPRN,General,WB,2023-08-08,0.0,132.0,0
BPRN,General,WB,2023-08-09,20.0,112.0,0
BPRN,General,WB,2023-08-10,20.0,92.0,0
BPRN,General,WB,2023-08-11,30.0,62.0,0
BPRN,General,WB,2023-08-12,0.0,62.0,0
BPRN,General,WB,2023-08-13,0.0,62.0,0
BPRN,General,WB,2023-08-14,0.0,62.0,0
BPRN,General,WB,2023-08-15,0.0,62.0,0
BPRN,General,WB,2023-08-16,0.0,62.0,0
BPRN,General,WB,2023-08-17,0.0,62.0,0
BPRN,General,WB,2023-08-18,0.0,302.0,0
BPRN,General,WB,2023-08-19,105.0,197.0,0
BPRN,General,WB,2023-08-20,50.0,147.0,0
BPRN,General,WB,2023-08-21,60.0,87.0,0
BPRN,General,WB,2023-08-22,0.0,87.0,0
BPRN,General,WB,2023-08-23,0.0,87.0,0
BPRN,General,WB,2023-08-24,10.0,77.0,0
BPRN,General,WB,2023-08-26,0.0,77.0,0
BPRN,General,WB,2023-08-27,0.0,77.0,0
BPRN,General,WB,2023-08-28,0.0,77.0,0
BPRN,General,WB,2023-08-29,10.0,67.0,0
BPRN,General,WB,2023-08-30,0.0,67.0,0
BPRN,General,WB,2023-08-31,40.0,27.0,0
BPRN,General,WB,2023-09-01,0.0,27.0,0
BPRN,General,WB,2023-09-02,0.0,27.0,0
BPRN,General,WB,2023-09-03,0.0,27.0,0
BPRN,General,WB,2023-09-04,0.0,27.0,0
BPRN,General,WB,2023-09-05,20.0,395.0,0
