product_id,location_id,product_category,demand_frequency,risk_period,outlier_method,outlier_threshold,forecast_window_length,forecast_horizon
PROD_001,LOC_001,ELECTRONICS,w,2,iqr,2.0,120,10
PROD_001,LOC_002,ELECTRONICS,w,2,zscore,2.0,120,10
PROD_001,LOC_003,ELECTRONICS,w,2,rolling,2.0,120,10
PROD_001,LOC_004,ELECTRONICS,w,2,rolling,2.0,120,10
PROD_001,LOC_005,ELECTRONICS,w,2,iqr,2.0,120,10
PROD_002,LOC_001,CLOTHING,w,2,zscore,1.5,100,10
PROD_002,LOC_002,CLOTHING,w,2,iqr,1.5,100,10
PROD_002,LOC_003,CLOTHING,w,2,iqr,1.5,100,10
PROD_002,LOC_004,CLOTHING,w,2,iqr,1.5,100,10
PROD_002,LOC_005,CLOTHING,w,2,mad,1.5,100,10
PROD_003,LOC_001,FOOD,w,2,zscore,1.2,70,10
PROD_003,LOC_002,FOOD,w,2,zscore,1.2,70,10
PROD_003,LOC_003,FOOD,w,2,rolling,1.2,70,10
PROD_003,LOC_004,FOOD,w,2,rolling,1.2,70,10
PROD_003,LOC_005,FOOD,w,2,zscore,1.2,70,10
PROD_004,LOC_001,FOOD,w,2,iqr,1.2,70,10
PROD_004,LOC_002,FOOD,w,2,iqr,1.2,70,10
PROD_004,LOC_003,FOOD,w,2,zscore,1.2,70,10
PROD_004,LOC_004,FOOD,w,2,iqr,1.2,70,10
PROD_004,LOC_005,FOOD,w,2,rolling,1.2,70,10
PROD_005,LOC_001,FOOD,w,2,zscore,1.2,70,10
PROD_005,LOC_002,FOOD,w,2,rolling,1.2,70,10
PROD_005,LOC_003,FOOD,w,2,rolling,1.2,70,10
PROD_005,LOC_004,FOOD,w,2,mad,1.2,70,10
PROD_005,LOC_005,FOOD,w,2,mad,1.2,70,10
PROD_006,LOC_001,CLOTHING,w,2,rolling,1.5,100,10
PROD_006,LOC_002,CLOTHING,w,2,iqr,1.5,100,10
PROD_006,LOC_003,CLOTHING,w,2,mad,1.5,100,10
PROD_006,LOC_004,CLOTHING,w,2,mad,1.5,100,10
PROD_006,LOC_005,CLOTHING,w,2,rolling,1.5,100,10
PROD_007,LOC_001,SPORTS,w,2,zscore,1.5,100,15
PROD_007,LOC_002,SPORTS,w,2,zscore,1.5,100,15
PROD_007,LOC_003,SPORTS,w,2,iqr,1.5,100,15
PROD_007,LOC_004,SPORTS,w,2,rolling,1.5,100,15
PROD_007,LOC_005,SPORTS,w,2,rolling,1.5,100,15
PROD_008,LOC_001,SPORTS,w,2,rolling,1.5,100,15
PROD_008,LOC_002,SPORTS,w,2,mad,1.5,100,15
PROD_008,LOC_003,SPORTS,w,2,mad,1.5,100,15
PROD_008,LOC_004,SPORTS,w,2,zscore,1.5,100,15
PROD_008,LOC_005,SPORTS,w,2,iqr,1.5,100,15
PROD_009,LOC_001,SPORTS,w,2,zscore,1.5,100,15
PROD_009,LOC_002,SPORTS,w,2,rolling,1.5,100,15
PROD_009,LOC_003,SPORTS,w,2,zscore,1.5,100,15
PROD_009,LOC_004,SPORTS,w,2,mad,1.5,100,15
PROD_009,LOC_005,SPORTS,w,2,iqr,1.5,100,15
PROD_010,LOC_001,HOME,w,2,rolling,1.5,100,10
PROD_010,LOC_002,HOME,w,2,zscore,1.5,100,10
PROD_010,LOC_003,HOME,w,2,zscore,1.5,100,10
PROD_010,LOC_004,HOME,w,2,mad,1.5,100,10
PROD_010,LOC_005,HOME,w,2,rolling,1.5,100,10
