product_id,product_category,location_id,date,demand,stock_level
PROD_001,ELECTRONICS,LOC_001,2022-01-01,40.47,107.86
PROD_001,ELECTRONICS,LOC_001,2022-01-02,29.26,125.53
PROD_001,ELECTRONICS,LOC_001,2022-01-03,43.82,88.09
PROD_001,ELECTRONICS,LOC_001,2022-01-04,53.07,104.21
PROD_001,ELECTRONICS,LOC_001,2022-01-05,42.06,138.43
PROD_001,ELECTRONICS,LOC_001,2022-01-06,48.93,97.13
PROD_001,ELECTRONICS,LOC_001,2022-01-07,56.79,80.74
PROD_001,ELECTRONICS,LOC_001,2022-01-08,30.76,73.09
PROD_001,ELECTRONICS,LOC_001,2022-01-09,34.06,103.82
PROD_001,ELECTRONICS,LOC_001,2022-01-10,61.18,113.65
PROD_001,ELECTRONICS,LOC_001,2022-01-11,39.98,167.56
PROD_001,ELECTRONICS,LOC_001,2022-01-12,51.9,91.93
PROD_001,ELECTRONICS,LOC_001,2022-01-13,46.42,92.29
PROD_001,ELECTRONICS,LOC_001,2022-01-14,41.32,115.88
PROD_001,ELECTRONICS,LOC_001,2022-01-15,25.63,126.48
PROD_001,ELECTRONICS,LOC_001,2022-01-16,42.11,99.0
PROD_001,ELECTRONICS,LOC_001,2022-01-17,63.46,149.81
PROD_001,ELECTRONICS,LOC_001,2022-01-18,40.9,107.41
PROD_001,ELECTRONICS,LOC_001,2022-01-19,47.32,161.76
PROD_001,ELECTRONICS,LOC_001,2022-01-20,38.93,153.29
PROD_001,ELECTRONICS,LOC_001,2022-01-21,51.33,95.73
PROD_001,ELECTRONICS,LOC_001,2022-01-22,26.59,124.04
PROD_001,ELECTRONICS,LOC_001,2022-01-23,49.5,100.19
PROD_001,ELECTRONICS,LOC_001,2022-01-24,62.09,166.82
PROD_001,ELECTRONICS,LOC_001,2022-01-25,40.32,110.12
PROD_001,ELECTRONICS,LOC_001,2022-01-26,54.21,106.84
PROD_001,ELECTRONICS,LOC_001,2022-01-27,53.16,136.38
PROD_001,ELECTRONICS,LOC_001,2022-01-28,50.42,133.52
PROD_001,ELECTRONICS,LOC_001,2022-01-29,40.16,104.54
PROD_001,ELECTRONICS,LOC_001,2022-01-30,44.29,111.09
PROD_001,ELECTRONICS,LOC_001,2022-01-31,56.72,132.42
PROD_001,ELECTRONICS,LOC_001,2022-02-01,70.29,140.99
PROD_001,ELECTRONICS,LOC_001,2022-02-02,64.82,124.35
PROD_001,ELECTRONICS,LOC_001,2022-02-03,52.24,76.37
PROD_001,ELECTRONICS,LOC_001,2022-02-04,49.52,69.21
