date,product_id,product_category,location_id,demand,stock_level
2021-12-27,PROD_001,ELECTRONICS,LOC_001,69.73,116.695
2021-12-27,PROD_001,ELECTRONICS,LOC_002,61.84,106.38
2021-12-27,PROD_001,ELECTRONICS,LOC_003,66.93,109.6
2021-12-27,PROD_001,ELECTRONICS,LOC_004,60.69,237.0
2021-12-27,PROD_001,ELECTRONICS,LOC_005,34.7,156.365
2021-12-27,PROD_002,CLOTHING,LOC_001,82.35,96.465
2021-12-27,PROD_002,CLOTHING,LOC_002,100.03,42.269999999999996
2021-12-27,PROD_002,CLOTHING,LOC_003,55.56,93.74000000000001
2021-12-27,PROD_002,CLOTHING,LOC_004,56.650000000000006,68.065
2021-12-27,PROD_002,CLOTHING,LOC_005,70.05,120.71000000000001
2021-12-27,PROD_003,CLOTHING,LOC_001,32.5,97.015
2021-12-27,PROD_003,CLOTHING,LOC_002,106.19999999999999,147.54500000000002
2021-12-27,PROD_003,CLOTHING,LOC_003,117.37,93.675
2021-12-27,PROD_003,CLOTHING,LOC_004,42.42,140.51
2021-12-27,PROD_003,CLOTHING,LOC_005,106.45,225.31
2021-12-27,PROD_004,FOOD,LOC_001,121.1,142.035
2021-12-27,PROD_004,FOOD,LOC_002,86.05,134.16
2021-12-27,PROD_004,FOOD,LOC_003,80.9,89.805
2021-12-27,PROD_004,FOOD,LOC_004,122.32,144.755
2021-12-27,PROD_004,FOOD,LOC_005,133.23,187.485
2021-12-27,PROD_005,FOOD,LOC_001,153.51999999999998,200.805
2021-12-27,PROD_005,FOOD,LOC_002,105.75999999999999,177.72
2021-12-27,PROD_005,FOOD,LOC_003,68.74000000000001,109.095
2021-12-27,PROD_005,FOOD,LOC_004,154.87,145.34
2021-12-27,PROD_005,FOOD,LOC_005,111.25999999999999,139.89
2021-12-27,PROD_006,FOOD,LOC_001,128.01,187.57999999999998
2021-12-27,PROD_006,FOOD,LOC_002,159.97,136.93
2021-12-27,PROD_006,FOOD,LOC_003,120.25999999999999,131.84
2021-12-27,PROD_006,FOOD,LOC_004,159.26999999999998,175.995
2021-12-27,PROD_006,FOOD,LOC_005,74.72999999999999,116.33
2021-12-27,PROD_007,HOME,LOC_001,14.65,57.5
2021-12-27,PROD_007,HOME,LOC_002,46.260000000000005,109.745
2021-12-27,PROD_007,HOME,LOC_003,47.129999999999995,105.215
2021-12-27,PROD_007,HOME,LOC_004,34.53,85.3
2021-12-27,PROD_007,HOME,LOC_005,26.439999999999998,74.535
2021-12-27,PROD_008,SPORTS,LOC_001,63.43000000000001,152.62
2021-12-27,PROD_008,SPORTS,LOC_002,12.059999999999999,153.805
